tradingsymbol,datetime,open,high,low,close,volume
NIFTY 50,2024-07-10 13:15:00,24278.85,24289.05,24263.75,24267.95,0
NIFTY 50,2024-07-10 13:45:00,24267.65,24274.0,24212.1,24238.25,0
NIFTY 50,2024-07-10 14:15:00,24237.95,24321.9,24226.65,24304.1,0
NIFTY 50,2024-07-10 14:45:00,24303.05,24336.75,24279.5,24330.85,0
NIFTY 50,2024-07-10 15:15:00,24331.25,24337.15,24310.9,24312.4,0
NIFTY 50,2024-07-11 09:15:00,24396.55,24402.65,24310.15,24339.4,0
NIFTY 50,2024-07-11 09:45:00,24340.3,24363.15,24272.45,24286.1,0
NIFTY 50,2024-07-11 10:15:00,24286.05,24288.95,24242.2,24253.8,0
NIFTY 50,2024-07-11 10:45:00,24254.75,24268.6,24234.5,24256.2,0
NIFTY 50,2024-07-11 11:15:00,24256.5,24283.4,24251.95,24269.55,0
NIFTY 50,2024-07-11 11:45:00,24268.85,24276.15,24193.75,24264.2,0
NIFTY 50,2024-07-11 12:15:00,24264.25,24288.0,24259.85,24286.75,0
NIFTY 50,2024-07-11 12:45:00,24286.95,24307.8,24282.15,24298.05,0
NIFTY 50,2024-07-11 13:15:00,24297.35,24309.75,24278.3,24282.2,0
NIFTY 50,2024-07-11 13:45:00,24282.3,24327.3,24279.75,24306.8,0
NIFTY 50,2024-07-11 14:15:00,24306.1,24317.0,24299.1,24306.7,0
NIFTY 50,2024-07-11 14:45:00,24306.95,24332.45,24291.45,24328.65,0
NIFTY 50,2024-07-11 15:15:00,24329.0,24357.0,24318.55,24338.5,0
NIFTY 50,2024-07-12 09:15:00,24387.95,24440.75,24342.45,24420.85,0
NIFTY 50,2024-07-12 09:45:00,24420.45,24423.9,24331.15,24362.9,0
NIFTY 50,2024-07-12 10:15:00,24362.6,24394.45,24357.15,24382.25,0
NIFTY 50,2024-07-12 10:45:00,24383.05,24592.2,24380.45,24538.25,0
NIFTY 50,2024-07-12 11:15:00,24537.65,24539.35,24473.3,24499.5,0
NIFTY 50,2024-07-12 11:45:00,24499.4,24525.5,24487.65,24516.4,0
NIFTY 50,2024-07-12 12:15:00,24517.8,24521.25,24478.25,24488.95,0
NIFTY 50,2024-07-12 12:45:00,24489.35,24523.45,24486.6,24518.5,0
NIFTY 50,2024-07-12 13:15:00,24518.45,24560.8,24514.05,24540.8,0
NIFTY 50,2024-07-12 13:45:00,24541.25,24579.8,24538.75,24574.65,0
NIFTY 50,2024-07-12 14:15:00,24573.9,24581.05,24547.25,24560.4,0
NIFTY 50,2024-07-12 14:45:00,24559.9,24560.7,24490.05,24491.15,0
NIFTY 50,2024-07-12 15:15:00,24490.0,24516.5,24485.6,24512.4,0
NIFTY 50,2024-07-15 09:15:00,24587.6,24598.0,24522.75,24542.35,0
NIFTY 50,2024-07-15 09:45:00,24542.55,24572.6,24527.9,24562.0,0
NIFTY 50,2024-07-15 10:15:00,24562.15,24603.4,24545.7,24585.05,0
NIFTY 50,2024-07-15 10:45:00,24584.5,24595.0,24573.15,24581.0,0
NIFTY 50,2024-07-15 11:15:00,24581.75,24598.8,24573.7,24597.5,0
NIFTY 50,2024-07-15 11:45:00,24596.3,24611.85,24547.55,24598.9,0
NIFTY 50,2024-07-15 12:15:00,24598.9,24602.25,24576.1,24588.15,0
NIFTY 50,2024-07-15 12:45:00,24587.8,24619.6,24584.0,24614.8,0
NIFTY 50,2024-07-15 13:15:00,24614.8,24635.05,24611.8,24612.1,0
NIFTY 50,2024-07-15 13:45:00,24612.4,24629.05,24589.8,24594.45,0
NIFTY 50,2024-07-15 14:15:00,24594.45,24619.15,24589.05,24593.05,0
NIFTY 50,2024-07-15 14:45:00,24593.05,24602.2,24577.7,24584.5,0
NIFTY 50,2024-07-15 15:15:00,24583.4,24588.6,24577.95,24588.35,0
NIFTY 50,2024-07-16 09:15:00,24615.9,24650.05,24599.75,24633.75,0
NIFTY 50,2024-07-16 09:45:00,24634.55,24648.9,24613.85,24634.4,0
NIFTY 50,2024-07-16 10:15:00,24635.35,24661.25,24628.75,24657.2,0
NIFTY 50,2024-07-16 10:45:00,24656.55,24659.1,24642.8,24654.05,0
NIFTY 50,2024-07-16 11:15:00,24654.4,24660.8,24640.1,24652.85,0
NIFTY 50,2024-07-16 11:45:00,24652.9,24654.45,24631.6,24640.5,0
NIFTY 50,2024-07-16 12:15:00,24640.9,24649.35,24620.3,24646.3,0
NIFTY 50,2024-07-16 12:45:00,24646.6,24656.65,24643.05,24652.9,0
NIFTY 50,2024-07-16 13:15:00,24652.0,24654.9,24610.75,24622.35,0
NIFTY 50,2024-07-16 13:45:00,24621.85,24634.5,24603.45,24625.1,0
NIFTY 50,2024-07-16 14:15:00,24625.15,24630.5,24587.65,24616.5,0
NIFTY 50,2024-07-16 14:45:00,24615.9,24648.0,24604.2,24604.3,0
NIFTY 50,2024-07-16 15:15:00,24603.6,24616.2,24593.9,24601.1,0
NIFTY 50,2024-07-18 09:15:00,24543.8,24585.95,24515.1,24580.9,0
NIFTY 50,2024-07-18 09:45:00,24583.85,24678.9,24580.6,24655.5,0
NIFTY 50,2024-07-18 10:15:00,24654.05,24658.1,24619.3,24645.75,0
NIFTY 50,2024-07-18 10:45:00,24644.45,24649.45,24531.5,24537.35,0
NIFTY 50,2024-07-18 11:15:00,24538.55,24560.45,24504.45,24538.85,0
NIFTY 50,2024-07-18 11:45:00,24538.6,24612.1,24529.9,24607.8,0
NIFTY 50,2024-07-18 12:15:00,24607.0,24648.45,24599.75,24647.1,0
NIFTY 50,2024-07-18 12:45:00,24646.75,24715.0,24611.45,24711.6,0
NIFTY 50,2024-07-18 13:15:00,24716.3,24746.8,24697.9,24713.4,0
NIFTY 50,2024-07-18 13:45:00,24713.05,24828.8,24706.95,24819.9,0
NIFTY 50,2024-07-18 14:15:00,24820.4,24829.35,24774.2,24820.9,0
NIFTY 50,2024-07-18 14:45:00,24820.85,24837.75,24785.9,24801.7,0
NIFTY 50,2024-07-18 15:15:00,24802.05,24810.4,24775.95,24779.35,0
NIFTY 50,2024-07-19 09:15:00,24853.8,24854.8,24727.75,24747.7,0
NIFTY 50,2024-07-19 09:45:00,24748.7,24749.05,24684.2,24685.85,0
NIFTY 50,2024-07-19 10:15:00,24684.95,24725.7,24678.4,24695.8,0
NIFTY 50,2024-07-19 10:45:00,24694.6,24694.9,24643.95,24661.55,0
NIFTY 50,2024-07-19 11:15:00,24660.45,24675.25,24632.9,24637.4,0
NIFTY 50,2024-07-19 11:45:00,24637.05,24673.55,24621.85,24661.75,0
NIFTY 50,2024-07-19 12:15:00,24661.65,24667.6,24611.65,24631.25,0
NIFTY 50,2024-07-19 12:45:00,24631.4,24636.8,24595.85,24612.8,0
NIFTY 50,2024-07-19 13:15:00,24611.35,24646.15,24590.1,24607.0,0
NIFTY 50,2024-07-19 13:45:00,24606.5,24635.75,24554.25,24570.65,0
NIFTY 50,2024-07-19 14:15:00,24570.25,24588.7,24537.7,24567.2,0
NIFTY 50,2024-07-19 14:45:00,24567.35,24586.7,24519.75,24530.4,0
NIFTY 50,2024-07-19 15:15:00,24531.85,24539.65,24508.15,24525.85,0
NIFTY 50,2024-07-22 09:15:00,24445.75,24508.6,24362.3,24494.1,0
NIFTY 50,2024-07-22 09:45:00,24493.4,24558.55,24488.6,24556.0,0
NIFTY 50,2024-07-22 10:15:00,24555.65,24579.4,24548.8,24566.25,0
NIFTY 50,2024-07-22 10:45:00,24566.3,24595.2,24531.1,24532.05,0
NIFTY 50,2024-07-22 11:15:00,24531.4,24551.15,24507.35,24548.1,0
NIFTY 50,2024-07-22 11:45:00,24547.9,24554.9,24514.2,24522.95,0
NIFTY 50,2024-07-22 12:15:00,24523.15,24527.9,24465.55,24491.45,0
NIFTY 50,2024-07-22 12:45:00,24491.6,24512.2,24481.05,24487.8,0
NIFTY 50,2024-07-22 13:15:00,24487.3,24531.85,24487.3,24521.85,0
NIFTY 50,2024-07-22 13:45:00,24522.5,24541.65,24491.5,24498.25,0
NIFTY 50,2024-07-22 14:15:00,24498.15,24521.75,24480.8,24516.35,0
NIFTY 50,2024-07-22 14:45:00,24516.55,24520.25,24493.0,24515.7,0
NIFTY 50,2024-07-22 15:15:00,24516.25,24520.95,24504.7,24515.9,0
NIFTY 50,2024-07-23 09:15:00,24568.9,24582.55,24467.45,24488.3,0
NIFTY 50,2024-07-23 09:45:00,24488.8,24514.45,24445.6,24449.15,0
NIFTY 50,2024-07-23 10:15:00,24449.9,24488.95,24423.75,24464.5,0
NIFTY 50,2024-07-23 10:45:00,24463.25,24552.5,24443.8,24542.55,0
NIFTY 50,2024-07-23 11:15:00,24543.5,24549.8,24380.3,24485.5,0
NIFTY 50,2024-07-23 11:45:00,24487.0,24500.55,24429.5,24469.3,0
NIFTY 50,2024-07-23 12:15:00,24468.65,24474.05,24074.2,24352.5,0
NIFTY 50,2024-07-23 12:45:00,24353.4,24395.4,24279.45,24279.65,0
NIFTY 50,2024-07-23 13:15:00,24280.4,24361.75,24277.3,24342.15,0
NIFTY 50,2024-07-23 13:45:00,24343.5,24513.05,24318.95,24459.9,0
NIFTY 50,2024-07-23 14:15:00,24460.15,24544.7,24427.55,24530.0,0
NIFTY 50,2024-07-23 14:45:00,24530.1,24544.3,24459.25,24460.65,0
NIFTY 50,2024-07-23 15:15:00,24459.45,24479.5,24446.75,24476.4,0
NIFTY 50,2024-07-24 09:15:00,24444.95,24504.25,24395.15,24409.1,0
NIFTY 50,2024-07-24 09:45:00,24408.1,24466.55,24373.45,24441.15,0
NIFTY 50,2024-07-24 10:15:00,24442.4,24485.35,24397.25,24438.95,0
NIFTY 50,2024-07-24 10:45:00,24439.65,24492.1,24423.4,24432.0,0
NIFTY 50,2024-07-24 11:15:00,24432.35,24445.25,24384.15,24388.55,0
NIFTY 50,2024-07-24 11:45:00,24388.8,24421.35,24367.8,24379.85,0
NIFTY 50,2024-07-24 12:15:00,24379.85,24382.25,24307.25,24322.85,0
NIFTY 50,2024-07-24 12:45:00,24322.55,24364.4,24319.85,24362.0,0
NIFTY 50,2024-07-24 13:15:00,24362.15,24378.1,24320.6,24374.4,0
NIFTY 50,2024-07-24 13:45:00,24374.75,24376.05,24310.5,24324.45,0
NIFTY 50,2024-07-24 14:15:00,24326.3,24453.95,24322.25,24433.4,0
NIFTY 50,2024-07-24 14:45:00,24432.3,24452.0,24380.25,24407.4,0
NIFTY 50,2024-07-24 15:15:00,24407.65,24446.4,24397.75,24441.9,0
NIFTY 50,2024-07-25 09:15:00,24230.95,24300.1,24210.8,24287.3,0
NIFTY 50,2024-07-25 09:45:00,24287.65,24303.15,24245.15,24294.95,0
NIFTY 50,2024-07-25 10:15:00,24294.8,24327.2,24270.85,24317.8,0
NIFTY 50,2024-07-25 10:45:00,24317.2,24332.45,24305.2,24324.2,0
NIFTY 50,2024-07-25 11:15:00,24324.05,24344.95,24295.1,24337.65,0
NIFTY 50,2024-07-25 11:45:00,24337.0,24368.65,24333.95,24362.95,0
NIFTY 50,2024-07-25 12:15:00,24362.15,24379.2,24354.7,24358.45,0
NIFTY 50,2024-07-25 12:45:00,24358.4,24397.9,24357.25,24382.3,0
NIFTY 50,2024-07-25 13:15:00,24381.8,24396.95,24361.05,24367.1,0
